city,sale_id,total_price,prev_total_price,diff
Chicago,4,41.73,,
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,4,41.73,41.73,0.0
Chicago,6,108.24,41.73,66.51
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
Chicago,6,108.24,108.24,0.0
