product_category,sale_id,product_name,total_price,running_total
Beverages,5,Orange Juice,26.22,26.22
Beverages,5,Orange Juice,26.22,52.44
Beverages,5,Orange Juice,26.22,78.66
Beverages,5,Orange Juice,26.22,104.88
Beverages,5,Orange Juice,26.22,131.1
Beverages,5,Orange Juice,26.22,157.32
Beverages,5,Orange Juice,26.22,183.54
Beverages,5,Orange Juice,26.22,209.76
Beverages,5,Orange Juice,26.22,235.98
Beverages,5,Orange Juice,26.22,262.2
Beverages,5,Orange Juice,26.22,288.42
Beverages,5,Orange Juice,26.22,314.64
Beverages,5,Orange Juice,26.22,340.86
Beverages,5,Orange Juice,26.22,367.08
Beverages,5,Orange Juice,26.22,393.3
Beverages,5,Orange Juice,26.22,419.52
Beverages,5,Orange Juice,26.22,445.74
Beverages,5,Orange Juice,26.22,471.96
Beverages,5,Orange Juice,26.22,498.18
Beverages,5,Orange Juice,26.22,524.4
Beverages,5,Orange Juice,26.22,550.62
Beverages,5,Orange Juice,26.22,576.84
Beverages,5,Orange Juice,26.22,603.06
Beverages,5,Orange Juice,26.22,629.28
Beverages,5,Orange Juice,26.22,655.5
Beverages,5,Orange Juice,26.22,681.72
Beverages,5,Orange Juice,26.22,707.94
Beverages,5,Orange Juice,26.22,734.16
Beverages,5,Orange Juice,26.22,760.38
Beverages,5,Orange Juice,26.22,786.6
Beverages,5,Orange Juice,26.22,812.82
Beverages,11,Detergent,69.81,882.63
Beverages,11,Detergent,69.81,952.44
Beverages,11,Detergent,69.81,1022.25
Beverages,11,Detergent,69.81,1092.06
Beverages,11,Detergent,69.81,1161.87
Beverages,11,Detergent,69.81,1231.68
Beverages,11,Detergent,69.81,1301.49
Beverages,11,Detergent,69.81,1371.3
Beverages,11,Detergent,69.81,1441.11
Beverages,11,Detergent,69.81,1510.92
Beverages,11,Detergent,69.81,1580.73
Beverages,11,Detergent,69.81,1650.54
Beverages,11,Detergent,69.81,1720.35
Beverages,11,Detergent,69.81,1790.16
Beverages,11,Detergent,69.81,1859.97
Beverages,11,Detergent,69.81,1929.78
Beverages,11,Detergent,69.81,1999.59
Beverages,11,Detergent,69.81,2069.4
Beverages,11,Detergent,69.81,2139.21
Beverages,11,Detergent,69.81,2209.02
Beverages,11,Detergent,69.81,2278.83
Beverages,11,Detergent,69.81,2348.64
Beverages,11,Detergent,69.81,2418.45
Beverages,11,Detergent,69.81,2488.26
Beverages,11,Detergent,69.81,2558.07
Beverages,11,Detergent,69.81,2627.88
Beverages,11,Detergent,69.81,2697.69
Beverages,11,Detergent,69.81,2767.5
Beverages,11,Detergent,69.81,2837.31
Beverages,11,Detergent,69.81,2907.12
Beverages,11,Detergent,69.81,2976.93
Beverages,11,Detergent,69.81,3046.74
Beverages,11,Detergent,69.81,3116.55
Beverages,11,Detergent,69.81,3186.36
Beverages,11,Detergent,69.81,3256.17
Beverages,11,Detergent,69.81,3325.98
Beverages,15,Apple,62.53,3388.51
